"pca","knn","t","Acc","sd"
1,1,3,0.22,0.2
1,1,5,0.36,0.27
1,1,7,0.33,0.31
1,1,12,0.38,0.33
1,1,15,0.38,0.34
1,2,3,0.4,0.33
1,2,5,0.38,0.34
1,2,7,0.42,0.32
1,2,12,0.42,0.32
1,2,15,0.46,0.34
1,3,3,0.41,0.31
1,3,5,0.41,0.34
1,3,7,0.41,0.33
1,3,12,0.44,0.32
1,3,15,0.43,0.32
1,4,3,0.4,0.33
1,4,5,0.4,0.34
1,4,7,0.43,0.34
1,4,12,0.42,0.33
1,4,15,0.41,0.32
1,5,3,0.41,0.34
1,5,5,0.39,0.34
1,5,7,0.4,0.34
1,5,12,0.42,0.32
1,5,15,0.4,0.33
2,1,3,0.26,0.25
2,1,5,0.36,0.26
2,1,7,0.48,0.29
2,1,12,0.48,0.33
2,1,15,0.53,0.38
2,2,3,0.47,0.37
2,2,5,0.48,0.37
2,2,7,0.48,0.37
2,2,12,0.48,0.37
2,2,15,0.53,0.36
2,3,3,0.47,0.37
2,3,5,0.48,0.37
2,3,7,0.47,0.36
2,3,12,0.49,0.38
2,3,15,0.47,0.36
2,4,3,0.47,0.37
2,4,5,0.48,0.36
2,4,7,0.48,0.37
2,4,12,0.44,0.36
2,4,15,0.46,0.36
2,5,3,0.51,0.35
2,5,5,0.47,0.35
2,5,7,0.47,0.33
2,5,12,0.44,0.34
2,5,15,0.44,0.33
3,1,3,0.35,0.22
3,1,5,0.55,0.29
3,1,7,0.57,0.34
3,1,12,0.63,0.37
3,1,15,0.58,0.38
3,2,3,0.62,0.38
3,2,5,0.64,0.38
3,2,7,0.59,0.39
3,2,12,0.58,0.39
3,2,15,0.57,0.39
3,3,3,0.63,0.37
3,3,5,0.62,0.37
3,3,7,0.63,0.35
3,3,12,0.6,0.33
3,3,15,0.56,0.35
3,4,3,0.59,0.37
3,4,5,0.57,0.37
3,4,7,0.52,0.37
3,4,12,0.51,0.36
3,4,15,0.5,0.35
3,5,3,0.56,0.36
3,5,5,0.58,0.33
3,5,7,0.48,0.33
3,5,12,0.47,0.32
3,5,15,0.45,0.32
4,1,3,0.38,0.23
4,1,5,0.53,0.29
4,1,7,0.62,0.33
4,1,12,0.63,0.37
4,1,15,0.64,0.34
4,2,3,0.6,0.4
4,2,5,0.61,0.38
4,2,7,0.59,0.39
4,2,12,0.58,0.39
4,2,15,0.61,0.37
4,3,3,0.62,0.37
4,3,5,0.65,0.37
4,3,7,0.58,0.37
4,3,12,0.59,0.34
4,3,15,0.59,0.34
4,4,3,0.55,0.38
4,4,5,0.54,0.38
4,4,7,0.55,0.35
4,4,12,0.55,0.35
4,4,15,0.5,0.35
4,5,3,0.51,0.38
4,5,5,0.51,0.33
4,5,7,0.46,0.33
4,5,12,0.46,0.32
4,5,15,0.46,0.33
5,1,3,0.37,0.24
5,1,5,0.55,0.37
5,1,7,0.6,0.36
5,1,12,0.61,0.36
5,1,15,0.65,0.35
5,2,3,0.61,0.37
5,2,5,0.61,0.37
5,2,7,0.65,0.36
5,2,12,0.6,0.37
5,2,15,0.64,0.35
5,3,3,0.62,0.34
5,3,5,0.56,0.37
5,3,7,0.58,0.36
5,3,12,0.57,0.35
5,3,15,0.54,0.37
5,4,3,0.55,0.37
5,4,5,0.53,0.38
5,4,7,0.5,0.37
5,4,12,0.48,0.36
5,4,15,0.5,0.33
5,5,3,0.53,0.36
5,5,5,0.51,0.36
5,5,7,0.49,0.34
5,5,12,0.41,0.33
5,5,15,0.43,0.33
