"pca","knn","t","Acc","sd"
1,1,3,0.26,0.14
1,1,5,0.28,0.13
1,1,7,0.38,0.21
1,1,12,0.44,0.21
1,1,15,0.45,0.25
1,2,3,0.55,0.33
1,2,5,0.6,0.36
1,2,7,0.59,0.35
1,2,12,0.6,0.35
1,2,15,0.6,0.35
1,3,3,0.59,0.34
1,3,5,0.61,0.34
1,3,7,0.6,0.34
1,3,12,0.59,0.34
1,3,15,0.59,0.34
1,4,3,0.6,0.35
1,4,5,0.59,0.35
1,4,7,0.59,0.35
1,4,12,0.6,0.34
1,4,15,0.59,0.34
1,5,3,0.6,0.35
1,5,5,0.59,0.34
1,5,7,0.59,0.33
1,5,12,0.59,0.31
1,5,15,0.58,0.34
2,1,3,0.3,0.2
2,1,5,0.32,0.16
2,1,7,0.42,0.2
2,1,12,0.52,0.25
2,1,15,0.56,0.24
2,2,3,0.65,0.34
2,2,5,0.67,0.35
2,2,7,0.66,0.35
2,2,12,0.67,0.35
2,2,15,0.68,0.35
2,3,3,0.66,0.37
2,3,5,0.67,0.37
2,3,7,0.68,0.35
2,3,12,0.67,0.37
2,3,15,0.67,0.35
2,4,3,0.68,0.37
2,4,5,0.67,0.37
2,4,7,0.67,0.37
2,4,12,0.67,0.36
2,4,15,0.67,0.35
2,5,3,0.68,0.37
2,5,5,0.68,0.36
2,5,7,0.67,0.36
2,5,12,0.67,0.34
2,5,15,0.67,0.34
3,1,3,0.3,0.17
3,1,5,0.38,0.2
3,1,7,0.49,0.18
3,1,12,0.61,0.27
3,1,15,0.65,0.28
3,2,3,0.8,0.36
3,2,5,0.84,0.37
3,2,7,0.83,0.34
3,2,12,0.85,0.37
3,2,15,0.84,0.37
3,3,3,0.84,0.37
3,3,5,0.84,0.37
3,3,7,0.83,0.38
3,3,12,0.84,0.4
3,3,15,0.83,0.4
3,4,3,0.83,0.37
3,4,5,0.84,0.38
3,4,7,0.83,0.37
3,4,12,0.83,0.37
3,4,15,0.81,0.39
3,5,3,0.83,0.35
3,5,5,0.83,0.37
3,5,7,0.82,0.38
3,5,12,0.8,0.38
3,5,15,0.79,0.37
4,1,3,0.3,0.14
4,1,5,0.42,0.2
4,1,7,0.51,0.23
4,1,12,0.64,0.31
4,1,15,0.7,0.3
4,2,3,0.82,0.35
4,2,5,0.85,0.37
4,2,7,0.84,0.37
4,2,12,0.86,0.37
4,2,15,0.84,0.37
4,3,3,0.83,0.37
4,3,5,0.85,0.37
4,3,7,0.84,0.38
4,3,12,0.85,0.37
4,3,15,0.83,0.38
4,4,3,0.85,0.37
4,4,5,0.85,0.38
4,4,7,0.85,0.37
4,4,12,0.82,0.38
4,4,15,0.82,0.38
4,5,3,0.84,0.39
4,5,5,0.83,0.39
4,5,7,0.84,0.39
4,5,12,0.83,0.38
4,5,15,0.83,0.38
5,1,3,0.32,0.17
5,1,5,0.41,0.24
5,1,7,0.55,0.22
5,1,12,0.67,0.28
5,1,15,0.71,0.33
5,2,3,0.8,0.37
5,2,5,0.84,0.37
5,2,7,0.84,0.37
5,2,12,0.85,0.37
5,2,15,0.85,0.37
5,3,3,0.85,0.37
5,3,5,0.85,0.38
5,3,7,0.86,0.37
5,3,12,0.85,0.37
5,3,15,0.85,0.38
5,4,3,0.85,0.38
5,4,5,0.84,0.38
5,4,7,0.84,0.38
5,4,12,0.84,0.37
5,4,15,0.83,0.38
5,5,3,0.85,0.38
5,5,5,0.85,0.38
5,5,7,0.85,0.38
5,5,12,0.84,0.37
5,5,15,0.82,0.38
